Tempo,Na,Cl,NaCl
6.549999999999982,28.0,18.0,27.0
6.566666666666649,28.0,18.0,27.0
6.583333333333315,28.0,18.0,27.0
6.599999999999982,28.0,18.0,27.0
6.6166666666666485,28.0,18.0,27.0
6.633333333333315,28.0,18.0,27.0
6.649999999999982,28.0,18.0,27.0
6.666666666666648,28.0,18.0,27.0
6.683333333333315,28.0,18.0,27.0
6.6999999999999815,28.0,18.0,27.0
6.716666666666648,28.0,18.0,27.0
6.733333333333315,28.0,18.0,27.0
6.749999999999981,28.0,18.0,27.0
6.766666666666648,28.0,18.0,27.0
6.783333333333315,28.0,18.0,27.0
6.799999999999981,28.0,18.0,27.0
6.816666666666648,28.0,18.0,27.0
6.833333333333314,28.0,18.0,27.0
6.849999999999981,28.0,18.0,27.0
6.866666666666648,28.0,18.0,27.0
6.883333333333314,28.0,18.0,27.0
6.899999999999981,28.0,18.0,27.0
6.916666666666647,28.0,18.0,27.0
6.933333333333314,27.0,17.0,28.0
6.949999999999981,27.0,17.0,28.0
6.966666666666647,27.0,17.0,28.0
6.983333333333314,27.0,17.0,28.0
6.9999999999999805,27.0,17.0,28.0
7.016666666666647,27.0,17.0,28.0
7.033333333333314,27.0,17.0,28.0
7.04999999999998,27.0,17.0,28.0
7.066666666666647,27.0,17.0,28.0
7.0833333333333135,27.0,17.0,28.0
7.09999999999998,27.0,17.0,28.0
7.116666666666647,27.0,17.0,28.0
7.133333333333313,27.0,17.0,28.0
7.14999999999998,27.0,17.0,28.0
7.1666666666666465,27.0,17.0,28.0
7.183333333333313,27.0,17.0,28.0
7.19999999999998,27.0,17.0,28.0
7.216666666666646,27.0,17.0,28.0
7.233333333333313,27.0,17.0,28.0
7.24999999999998,27.0,17.0,28.0
7.266666666666646,27.0,17.0,28.0
7.283333333333313,27.0,17.0,28.0
7.299999999999979,27.0,17.0,28.0
7.316666666666646,27.0,17.0,28.0
7.333333333333313,27.0,17.0,28.0
7.349999999999979,27.0,17.0,28.0
7.366666666666646,27.0,17.0,28.0
7.383333333333312,27.0,17.0,28.0
7.399999999999979,27.0,17.0,28.0
7.416666666666646,27.0,17.0,28.0
7.433333333333312,27.0,17.0,28.0
7.449999999999979,27.0,17.0,28.0
7.4666666666666455,27.0,17.0,28.0
7.483333333333312,27.0,17.0,28.0
7.499999999999979,27.0,17.0,28.0
7.516666666666645,27.0,17.0,28.0
7.533333333333312,27.0,17.0,28.0
7.5499999999999785,27.0,17.0,28.0
7.566666666666645,27.0,17.0,28.0
7.583333333333312,27.0,17.0,28.0
7.599999999999978,27.0,17.0,28.0
7.616666666666645,27.0,17.0,28.0
7.6333333333333115,27.0,17.0,28.0
7.649999999999978,27.0,17.0,28.0
7.666666666666645,27.0,17.0,28.0
7.683333333333311,27.0,17.0,28.0
7.699999999999978,27.0,17.0,28.0
7.716666666666645,27.0,17.0,28.0
7.733333333333311,27.0,17.0,28.0
7.749999999999978,27.0,17.0,28.0
7.766666666666644,27.0,17.0,28.0
7.783333333333311,27.0,17.0,28.0
7.799999999999978,27.0,17.0,28.0
7.816666666666644,27.0,17.0,28.0
7.833333333333311,27.0,17.0,28.0
7.849999999999977,27.0,17.0,28.0
7.866666666666644,27.0,17.0,28.0
7.883333333333311,27.0,17.0,28.0
7.899999999999977,27.0,17.0,28.0
7.916666666666644,27.0,17.0,28.0
7.9333333333333105,27.0,17.0,28.0
7.949999999999977,27.0,17.0,28.0
7.966666666666644,27.0,17.0,28.0
7.98333333333331,27.0,17.0,28.0
7.999999999999977,27.0,17.0,28.0
8.016666666666644,27.0,17.0,28.0
8.033333333333312,27.0,17.0,28.0
8.04999999999998,27.0,17.0,28.0
8.066666666666647,27.0,17.0,28.0
8.083333333333314,27.0,17.0,28.0
8.099999999999982,27.0,17.0,28.0
8.11666666666665,27.0,17.0,28.0
8.133333333333317,27.0,17.0,28.0
8.149999999999984,27.0,17.0,28.0
8.166666666666652,27.0,17.0,28.0
8.18333333333332,27.0,17.0,28.0
8.199999999999987,27.0,17.0,28.0
8.216666666666654,27.0,17.0,28.0
8.233333333333322,27.0,17.0,28.0
8.24999999999999,27.0,17.0,28.0
8.266666666666657,27.0,17.0,28.0
8.283333333333324,27.0,17.0,28.0
8.299999999999992,27.0,17.0,28.0
8.31666666666666,27.0,17.0,28.0
8.333333333333327,27.0,17.0,28.0
8.349999999999994,27.0,17.0,28.0
8.366666666666662,27.0,17.0,28.0
8.38333333333333,27.0,17.0,28.0
8.399999999999997,27.0,17.0,28.0
8.416666666666664,27.0,17.0,28.0
8.433333333333332,27.0,17.0,28.0
8.45,27.0,17.0,28.0
8.466666666666667,27.0,17.0,28.0
8.483333333333334,27.0,17.0,28.0
8.500000000000002,27.0,17.0,28.0
8.51666666666667,27.0,17.0,28.0
8.533333333333337,27.0,17.0,28.0
8.550000000000004,27.0,17.0,28.0
8.566666666666672,27.0,17.0,28.0
8.58333333333334,27.0,17.0,28.0
